"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2018","2018",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2019","2019",3.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2020","2020",3.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2010","2010",2.2,"B","Break"
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2011","2011",2.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2012","2012",2.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2013","2013",2.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2014","2014",2.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2015","2015",2.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2016","2016",2.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2017","2017",2.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2018","2018",2.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2019","2019",2.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2010","2010",5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2011","2011",4.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2012","2012",4.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2013","2013",5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2014","2014",4.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2015","2015",4.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2016","2016",4.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2017","2017",4.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2018","2018",4.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2019","2019",4.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2020","2020",4.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2010","2010",3.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2011","2011",3.7,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2012","2012",3.6,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2013","2013",3.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2014","2014",3.6,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2015","2015",3.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2016","2016",3.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2017","2017",3.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2018","2018",3.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2019","2019",3.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2020","2020",3.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czech Republic","2010","2010",2.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czech Republic","2011","2011",2.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czech Republic","2012","2012",2.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czech Republic","2013","2013",2.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czech Republic","2014","2014",2.4,,
